iteration,acq_func,acq_value,accuracy,conv_nodes_1,conv_nodes_2,kernel_size_1,kernel_size_2,maxpool_size,dropout_rate,fc_nodes
1,gp_hedge,-0.96,0.96,24,37,5,3,3,0.3,200
2,gp_hedge,-0.93,0.93,44,17,3,5,2,0.6,440
3,gp_hedge,-0.94,0.94,14,47,5,5,3,0.5,80
4,gp_hedge,-0.95,0.95,34,27,3,3,4,0.2,320
5,gp_hedge,-0.94,0.94,39,12,5,3,3,0.3,260
6,gp_hedge,-0.92,0.92,8,48,3,3,4,0.7,479
7,gp_hedge,-0.96,0.96,9,48,3,3,4,0.5,386
8,gp_hedge,-0.96,0.96,23,45,5,3,2,0.4,477
9,gp_hedge,-0.95,0.95,43,48,5,3,2,0.3,35
10,gp_hedge,-0.9,0.9,8,34,5,3,3,0.3,32
11,gp_hedge,-0.88,0.88,25,19,3,3,4,0.7,241
12,gp_hedge,-0.95,0.95,20,19,3,5,4,0.2,354
13,gp_hedge,-0.94,0.94,28,48,3,5,2,0.1,505
14,gp_hedge,-0.94,0.94,8,40,5,3,3,0.6,421
15,gp_hedge,-0.91,0.91,19,48,5,3,3,0.5,512
16,gp_hedge,-0.93,0.93,48,48,3,3,3,0.1,290
17,gp_hedge,-0.91,0.91,23,8,5,5,2,0.6,42
18,gp_hedge,-0.93,0.93,48,48,5,5,4,0.2,512
19,gp_hedge,-0.9,0.9,48,20,3,5,3,0.5,99
20,gp_hedge,-0.95,0.95,48,42,5,5,3,0.7,165
21,gp_hedge,-0.95,0.95,17,22,3,3,3,0.5,347
22,gp_hedge,-0.96,0.96,24,36,3,3,3,0.2,298
23,gp_hedge,-0.94,0.94,10,14,3,3,3,0.5,488
24,gp_hedge,-0.94,0.94,15,48,5,3,4,0.4,385
25,gp_hedge,-0.94,0.94,44,37,5,3,2,0.4,512
26,gp_hedge,-0.93,0.93,10,12,3,3,4,0.2,214
27,gp_hedge,-0.93,0.93,48,39,5,3,2,0.6,134
28,gp_hedge,-0.93,0.93,11,26,5,5,3,0.3,236
29,gp_hedge,-0.9,0.9,8,48,3,5,3,0.5,110
30,gp_hedge,-0.9,0.9,16,16,5,5,4,0.1,512
31,gp_hedge,-0.95,0.95,34,44,5,3,3,0.3,175
32,gp_hedge,-0.92,0.92,30,25,5,5,3,0.4,438
33,gp_hedge,-0.95,0.95,11,28,5,3,2,0.4,419
34,gp_hedge,-0.91,0.91,14,46,5,5,2,0.4,460
35,gp_hedge,-0.93,0.93,13,43,3,3,2,0.2,334
36,gp_hedge,-0.92,0.92,26,8,5,3,2,0.1,371
37,gp_hedge,-0.96,0.96,34,46,3,3,4,0.2,367
38,gp_hedge,-0.93,0.93,19,23,3,3,3,0.5,234
39,gp_hedge,-0.93,0.93,41,30,3,3,4,0.2,458
40,gp_hedge,-0.95,0.95,17,36,5,3,2,0.3,112
41,gp_hedge,-0.96,0.96,27,29,3,5,4,0.5,422
42,gp_hedge,-0.92,0.92,46,25,3,5,4,0.2,481
43,gp_hedge,-0.94,0.94,21,20,3,5,4,0.5,397
44,gp_hedge,-0.94,0.94,15,22,5,3,3,0.3,205
45,gp_hedge,-0.95,0.95,43,40,3,3,4,0.5,358
